Pi (Pa)            ,Pf (Pa)            ,Vi (m³)             ,Vf (m³)            ,ΔP (Pa)            ,ΔV (m³)             ,C = ΔV / ΔP (m⁴·s²/kg) ,Cr = (ΔV / ΔP)*(1/Z) (m⁴·s²/kg)
278447.74,556895.48,624.62,312.31,278447.74,-312.31,-0.00112,-0.00125
279974.87,559949.75,629.15,314.57,279974.87,-314.57,-0.00112,-0.00125
281502.01,563004.02,633.67,316.83,281502.01,-316.83,-0.00113,-0.00125
283029.15,566058.29,638.19,319.1,283029.15,-319.1,-0.00113,-0.00125
284556.28,569112.56,642.71,321.36,284556.28,-321.36,-0.00113,-0.00125
286083.42,572166.83,647.24,323.62,286083.42,-323.62,-0.00113,-0.00126
287610.55,575221.11,651.76,325.88,287610.55,-325.88,-0.00113,-0.00126
289137.69,578275.38,656.28,328.14,289137.69,-328.14,-0.00113,-0.00126
290664.82,581329.65,660.8,330.4,290664.82,-330.4,-0.00114,-0.00126
292191.96,584383.92,665.33,332.66,292191.96,-332.66,-0.00114,-0.00127
293719.1,587438.19,669.85,334.92,293719.1,-334.92,-0.00114,-0.00127
295246.23,590492.46,674.37,337.19,295246.23,-337.19,-0.00114,-0.00127
296773.37,593546.73,678.89,339.45,296773.37,-339.45,-0.00114,-0.00127
298300.5,596601.01,683.42,341.71,298300.5,-341.71,-0.00115,-0.00127
299827.64,599655.28,687.94,343.97,299827.64,-343.97,-0.00115,-0.00127
301354.77,602709.55,692.46,346.23,301354.77,-346.23,-0.00115,-0.00128
302881.91,605763.82,696.98,348.49,302881.91,-348.49,-0.00115,-0.00128
304409.05,608818.09,701.51,350.75,304409.05,-350.75,-0.00115,-0.00128
305936.18,611872.36,706.03,353.02,305936.18,-353.02,-0.00115,-0.00128
307463.32,614926.63,710.55,355.28,307463.32,-355.28,-0.00116,-0.00128
308990.45,617980.9,715.08,357.54,308990.45,-357.54,-0.00116,-0.00129
310517.59,621035.18,719.6,359.8,310517.59,-359.8,-0.00116,-0.00129
312044.72,624089.45,724.12,362.06,312044.72,-362.06,-0.00116,-0.00129
313571.86,627143.72,728.64,364.32,313571.86,-364.32,-0.00116,-0.00129
315098.99,630197.99,733.17,366.58,315098.99,-366.58,-0.00116,-0.00129
316626.13,633252.26,737.69,368.84,316626.13,-368.84,-0.00116,-0.00129
318153.27,636306.53,742.21,371.11,318153.27,-371.11,-0.00117,-0.0013
