Pi (Pa)            ,Pf (Pa)            ,Vi (m³)             ,Vf (m³)            ,ΔP (Pa)            ,ΔV (m³)             ,C = ΔV / ΔP (m⁴·s²/kg) ,Cr = (ΔV / ΔP)*(1/Z) (m⁴·s²/kg)
160858.29145728642 ,321716.58291457285 , 276.3819095477387  ,138.19095477386935 ,160858.29145728642 ,-138.19095477386935 ,-0.0008590850587926576 ,-0.000954538954214064
162385.4271356784  ,324770.8542713568  , 280.9045226130653  ,140.45226130653265 ,162385.4271356784  ,-140.45226130653265 ,-0.0008649314398710184 ,-0.0009610349331900205
163912.56281407035 ,327825.1256281407  , 285.42713567839195 ,142.71356783919597 ,163912.56281407035 ,-142.71356783919597 ,-0.0008706688821715217 ,-0.0009674098690794686
165439.6984924623  ,330879.3969849246  , 289.9497487437186  ,144.9748743718593  ,165439.6984924623  ,-144.9748743718593  ,-0.0008763004024603235 ,-0.0009736671138448039
166966.83417085427 ,333933.66834170854 , 294.4723618090452  ,147.2361809045226  ,166966.83417085427 ,-147.2361809045226  ,-0.000881828907134086  ,-0.0009798098968156511
168493.96984924623 ,336987.93969849247 , 298.99497487437185 ,149.49748743718592 ,168493.96984924623 ,-149.49748743718592 ,-0.0008872571972216174 ,-0.0009858413302462417
170021.1055276382  ,340042.2110552764  , 303.5175879396985  ,151.75879396984925 ,170021.1055276382  ,-151.75879396984925 ,-0.0008925879731159596 ,-0.0009917644145732885
171548.24120603016 ,343096.4824120603  , 308.0402010050251  ,154.02010050251255 ,171548.24120603016 ,-154.02010050251255 ,-0.0008978238390537258 ,-0.0009975820433930286
173075.3768844221  ,346150.7537688442  , 312.56281407035175 ,156.28140703517587 ,173075.3768844221  ,-156.28140703517587 ,-0.0009029673073572964 ,-0.0010032970081747738
174602.51256281405 ,349205.0251256281  , 317.0854271356784  ,158.5427135678392  ,174602.51256281405 ,-158.5427135678392  ,-0.0009080208024543904 ,-0.0010089120027271005
176129.648241206   ,352259.296482412   , 321.608040201005   ,160.8040201005025  ,176129.648241206   ,-160.8040201005025  ,-0.0009129866646885289 ,-0.001014429627431699
177656.78391959798 ,355313.56783919595 , 326.13065326633165 ,163.06532663316582 ,177656.78391959798 ,-163.06532663316582 ,-0.0009178671539329689 ,-0.0010198523932588544
179183.91959798994 ,358367.8391959799  , 330.6532663316583  ,165.32663316582915 ,179183.91959798994 ,-165.32663316582915 ,-0.0009226644530198331 ,-0.0010251827255775925
180711.0552763819  ,361422.1105527638  , 335.1758793969849  ,167.58793969849245 ,180711.0552763819  ,-167.58793969849245 ,-0.00092738067099537   ,-0.0010304229677726335
182238.19095477386 ,364476.3819095477  , 339.69849246231155 ,169.84924623115577 ,182238.19095477386 ,-169.84924623115577 ,-0.0009320178462115404 ,-0.0010355753846794894
183765.32663316582 ,367530.65326633165 , 344.2211055276382  ,172.1105527638191  ,183765.32663316582 ,-172.1105527638191  ,-0.0009365779492634533 ,-0.0010406421658482815
185292.46231155779 ,370584.92462311557 , 348.7437185929648  ,174.3718592964824  ,185292.46231155779 ,-174.3718592964824  ,-0.0009410628857815432 ,-0.001045625428646159
186819.59798994975 ,373639.1959798995  , 353.26633165829145 ,176.63316582914572 ,186819.59798994975 ,-176.63316582914572 ,-0.0009454744990868034 ,-0.0010505272212075593
188346.7336683417  ,376693.4673366834  , 357.78894472361804 ,178.89447236180902 ,188346.7336683417  ,-178.89447236180902 ,-0.0009498145727168431 ,-0.0010553495252409368
189873.86934673367 ,379747.73869346734 , 362.3115577889447  ,181.15577889447235 ,189873.86934673367 ,-181.15577889447235 ,-0.0009540848328300458 ,-0.0010600942587000509
191401.00502512563 ,382802.01005025127 , 366.83417085427135 ,183.41708542713567 ,191401.00502512563 ,-183.41708542713567 ,-0.0009582869504946336 ,-0.0010647632783273707
192928.1407035176  ,385856.2814070352  , 371.35678391959794 ,185.67839195979897 ,192928.1407035176  ,-185.67839195979897 ,-0.0009624225438690167 ,-0.0010693583820766852
194455.27638190956 ,388910.5527638191  , 375.8793969849246  ,187.9396984924623  ,194455.27638190956 ,-187.9396984924623  ,-0.0009664931802794043 ,-0.0010738813114215603
195982.41206030152 ,391964.82412060304 , 380.40201005025125 ,190.20100502512562 ,195982.41206030152 ,-190.20100502512562 ,-0.0009705003782002794 ,-0.001078333753555866
197509.54773869348 ,395019.09547738696 , 384.92462311557784 ,192.46231155778892 ,197509.54773869348 ,-192.46231155778892 ,-0.0009744456091429966 ,-0.0010827173434922184
199036.68341708544 ,398073.3668341709  , 389.4472361809045  ,194.72361809045225 ,199036.68341708544 ,-194.72361809045225 ,-0.0009783302994574368 ,-0.0010870336660638187
200563.8190954774  ,401127.6381909548  , 393.96984924623115 ,196.98492462311557 ,200563.8190954774  ,-196.98492462311557 ,-0.0009821558320513527 ,-0.0010912842578348365
202090.95477386937 ,404181.90954773873 , 398.49246231155774 ,199.24623115577887 ,202090.95477386937 ,-199.24623115577887 ,-0.0009859235480317583 ,-0.001095470608924176
203618.09045226133 ,407236.18090452265 , 403.0150753768844  ,201.5075376884422  ,203618.09045226133 ,-201.5075376884422  ,-0.000989634748272458  ,-0.0010995941647471755
205145.22613065326 ,410290.4522613065  , 407.53768844221105 ,203.76884422110552 ,205145.22613065326 ,-203.76884422110552 ,-0.0009932906949115593 ,-0.0011036563276795104
206672.36180904522 ,413344.72361809044 , 412.06030150753764 ,206.03015075376882 ,206672.36180904522 ,-206.03015075376882 ,-0.0009968926127825947 ,-0.0011076584586473274
208199.49748743718 ,416398.99497487437 , 416.5829145728643  ,208.29145728643215 ,208199.49748743718 ,-208.29145728643215 ,-0.0010004416907826615 ,-0.0011116018786474016
209726.63316582915 ,419453.2663316583  , 421.10552763819095 ,210.55276381909547 ,209726.63316582915 ,-210.55276381909547 ,-0.0010039390831807857 ,-0.001115487870200873
211253.7688442211  ,422507.5376884422  , 425.62814070351754 ,212.81407035175877 ,211253.7688442211  ,-212.81407035175877 ,-0.0010073859108695393 ,-0.0011193176787439325
212780.90452261307 ,425561.80904522614 , 430.1507537688442  ,215.0753768844221  ,212780.90452261307 ,-215.0753768844221  ,-0.0010107832625627605 ,-0.0011230925139586229
214308.04020100503 ,428616.08040201006 , 434.67336683417085 ,217.33668341708542 ,214308.04020100503 ,-217.33668341708542 ,-0.0010141321959420643 ,-0.0011268135510467381
215835.17587939696 ,431670.3517587939  , 439.19597989949744 ,219.59798994974872 ,215835.17587939696 ,-219.59798994974872 ,-0.0010174337387546797 ,-0.0011304819319496442
217362.31155778893 ,434724.62311557785 , 443.7185929648241  ,221.85929648241205 ,217362.31155778893 ,-221.85929648241205 ,-0.00102068888986501   ,-0.0011340987665166779
218889.4472361809  ,437778.8944723618  , 448.24120603015075 ,224.12060301507537 ,218889.4472361809  ,-224.12060301507537 ,-0.0010238986202621733 ,-0.0011376651336246371
220416.58291457285 ,440833.1658291457  , 452.76381909547734 ,226.38190954773867 ,220416.58291457285 ,-226.38190954773867 ,-0.0010270638740256571 ,-0.0011411820822507302
221943.7185929648  ,443887.4371859296  , 457.286432160804   ,228.643216080402   ,221943.7185929648  ,-228.643216080402   ,-0.0010301855692511116 ,-0.001144650632501235
223470.85427135677 ,446941.70854271355 , 461.8090452261306  ,230.9045226130653  ,223470.85427135677 ,-230.9045226130653  ,-0.0010332645989381771 ,-0.0011480717765979746
224997.98994974873 ,449995.97989949747 , 466.33165829145725 ,233.16582914572862 ,224997.98994974873 ,-233.16582914572862 ,-0.0010363018318421604 ,-0.0011514464798246227
226525.1256281407  ,453050.2512562814  , 470.8542713567839  ,235.42713567839195 ,226525.1256281407  ,-235.42713567839195 ,-0.0010392981132912587 ,-0.0011547756814347318
228052.26130653266 ,456104.5226130653  , 475.3768844221105  ,237.68844221105525 ,228052.26130653266 ,-237.68844221105525 ,-0.0010422542659709489 ,-0.0011580602955232767
229579.39698492462 ,459158.79396984924 , 479.89949748743715 ,239.94974874371857 ,229579.39698492462 ,-239.94974874371857 ,-0.0010451710906770738 ,-0.0011613012118634155
231106.53266331658 ,462213.06532663316 , 484.4221105527638  ,242.2110552763819  ,231106.53266331658 ,-242.2110552763819  ,-0.0010480493670390648 ,-0.0011644992967100721
232633.66834170854 ,465267.3366834171  , 488.9447236180904  ,244.4723618090452  ,232633.66834170854 ,-244.4723618090452  ,-0.0010508898542146837 ,-0.001167655393571871
234160.8040201005  ,468321.608040201   , 493.46733668341705 ,246.73366834170852 ,234160.8040201005  ,-246.73366834170852 ,-0.0010536932915575774 ,-0.001170770323952864
235687.93969849247 ,471375.87939698494 , 497.9899497487437  ,248.99497487437185 ,235687.93969849247 ,-248.99497487437185 ,-0.0010564603992588785 ,-0.0011738448880654205
237215.07537688443 ,474430.15075376886 , 502.5125628140703  ,251.25628140703515 ,237215.07537688443 ,-251.25628140703515 ,-0.0010591918789640254 ,-0.0011768798655155837
238742.2110552764  ,477484.4221105528  , 507.03517587939695 ,253.51758793969847 ,238742.2110552764  ,-253.51758793969847 ,-0.0010618884143659083 ,-0.0011798760159621204
240269.34673366835 ,480538.6934673367  , 511.5577889447236  ,255.7788944723618  ,240269.34673366835 ,-255.7788944723618  ,-0.0010645506717753943 ,-0.001182834079750438
241796.48241206032 ,483592.96482412063 , 516.0804020100502  ,258.0402010050251  ,241796.48241206032 ,-258.0402010050251  ,-0.001067179300670234  ,-0.0011857547785224824
243323.61809045225 ,486647.2361809045  , 520.6030150753768  ,260.3015075376884  ,243323.61809045225 ,-260.3015075376884  ,-0.0010697749342232978 ,-0.0011886388158036643
244850.7537688442  ,489701.5075376884  , 525.1256281407035  ,262.56281407035175 ,244850.7537688442  ,-262.56281407035175 ,-0.0010723381898110427 ,-0.0011914868775678253
246377.88944723617 ,492755.77889447234 , 529.6482412060301  ,264.82412060301505 ,246377.88944723617 ,-264.82412060301505 ,-0.0010748696695030715 ,-0.0011942996327811905
247905.02512562813 ,495810.05025125627 , 534.1708542713568  ,267.0854271356784  ,247905.02512562813 ,-267.0854271356784  ,-0.0010773699605335972 ,-0.0011970777339262192
249432.1608040201  ,498864.3216080402  , 538.6934673366834  ,269.3467336683417  ,249432.1608040201  ,-269.3467336683417  ,-0.0010798396357555855 ,-0.0011998218175062062
250959.29648241206 ,501918.5929648241  , 543.21608040201    ,271.608040201005   ,250959.29648241206 ,-271.608040201005   ,-0.0010822792540783205 ,-0.0012025325045314672
252486.43216080402 ,504972.86432160804 , 547.7386934673366  ,273.8693467336683  ,252486.43216080402 ,-273.8693467336683  ,-0.0010846893608890869 ,-0.0012052104009878744
254013.56783919598 ,508027.13567839196 , 552.2613065326633  ,276.13065326633165 ,254013.56783919598 ,-276.13065326633165 ,-0.001087070488459644  ,-0.0012078560982884932
255540.70351758794 ,511081.4070351759  , 556.7839195979899  ,278.39195979899495 ,255540.70351758794 ,-278.39195979899495 ,-0.0010894231563381223 ,-0.0012104701737090248
257067.8391959799  ,514135.6783919598  , 561.3065326633166  ,280.6532663316583  ,257067.8391959799  ,-280.6532663316583  ,-0.0010917478717269555 ,-0.0012130531908077283
258594.97487437187 ,517189.94974874373 , 565.8291457286432  ,282.9145728643216  ,258594.97487437187 ,-282.9145728643216  ,-0.0010940451298474165 ,-0.001215605699830463
260122.11055276383 ,520244.22110552766 , 570.3517587939698  ,285.1758793969849  ,260122.11055276383 ,-285.1758793969849  ,-0.0010963154142913164 ,-0.0012181282381014628
261649.2462311558  ,523298.4924623116  , 574.8743718592964  ,287.4371859296482  ,261649.2462311558  ,-287.4371859296482  ,-0.0010985591973603848 ,-0.0012206213304004276
263176.3819095477  ,526352.7638190954  , 579.3969849246231  ,289.69849246231155 ,263176.3819095477  ,-289.69849246231155 ,-0.0011007769403938356 ,-0.0012230854893264841
264703.5175879397  ,529407.0351758794  , 583.9195979899497  ,291.95979899497485 ,264703.5175879397  ,-291.95979899497485 ,-0.0011029690940845926 ,-0.0012255212156495475
266230.65326633165 ,532461.3065326633  , 588.4422110552764  ,294.2211055276382  ,266230.65326633165 ,-294.2211055276382  ,-0.0011051360987846335 ,-0.0012279289986495928
267757.7889447236  ,535515.5778894472  , 592.964824120603   ,296.4824120603015  ,267757.7889447236  ,-296.4824120603015  ,-0.0011072783847998829 ,-0.0012303093164443143
269284.92462311557 ,538569.8492462311  , 597.4874371859296  ,298.7437185929648  ,269284.92462311557 ,-298.7437185929648  ,-0.0011093963726750728 ,-0.0012326626363056365
270812.06030150753 ,541624.1206030151  , 602.0100502512562  ,301.0050251256281  ,270812.06030150753 ,-301.0050251256281  ,-0.0011114904734689634 ,-0.001234989414965515
272339.1959798995  ,544678.391959799   , 606.5326633165829  ,303.26633165829145 ,272339.1959798995  ,-303.26633165829145 ,-0.001113561089020306  ,-0.0012372900989114511
273866.33165829146 ,547732.6633165829  , 611.0552763819095  ,305.52763819095475 ,273866.33165829146 ,-305.52763819095475 ,-0.001115608612204905  ,-0.0012395651246721166
275393.4673366834  ,550786.9346733668  , 615.5778894472361  ,307.78894472361804 ,275393.4673366834  ,-307.78894472361804 ,-0.0011176334271841293 ,-0.001241814919093477
276920.6030150754  ,553841.2060301508  , 620.1005025125628  ,310.0502512562814  ,276920.6030150754  ,-310.0502512562814  ,-0.0011196359096452006 ,-0.0012440398996057785
278447.73869346734 ,556895.4773869347  , 624.6231155778894  ,312.3115577889447  ,278447.73869346734 ,-312.3115577889447  ,-0.0011216164270335725 ,-0.0012462404744817473
279974.8743718593  ,559949.7487437186  , 629.145728643216   ,314.572864321608   ,279974.8743718593  ,-314.572864321608   ,-0.0011235753387777078 ,-0.0012484170430863421
281502.01005025127 ,563004.0201005025  , 633.6683417085427  ,316.83417085427135 ,281502.01005025127 ,-316.83417085427135 ,-0.001125512996506536  ,-0.0012505699961183735
283029.1457286432  ,566058.2914572865  , 638.1909547738693  ,319.09547738693465 ,283029.1457286432  ,-319.09547738693465 ,-0.0011274297442598732 ,-0.0012526997158443037
284556.2814070352  ,569112.5628140704  , 642.7135678391959  ,321.35678391959794 ,284556.2814070352  ,-321.35678391959794 ,-0.0011293259186920656 ,-0.0012548065763245174
286083.4170854271  ,572166.8341708542  , 647.2361809045226  ,323.6180904522613  ,286083.4170854271  ,-323.6180904522613  ,-0.0011312018492691102 ,-0.0012568909436323447
287610.5527638191  ,575221.1055276382  , 651.7587939698492  ,325.8793969849246  ,287610.5527638191  ,-325.8793969849246  ,-0.0011330578584594954 ,-0.001258953176066106
289137.688442211   ,578275.376884422   , 656.2814070351758  ,328.1407035175879  ,289137.688442211   ,-328.1407035175879  ,-0.0011348942619189967 ,-0.0012609936243544407
290664.82412060304 ,581329.6482412061  , 660.8040201005025  ,330.40201005025125 ,290664.82412060304 ,-330.40201005025125 ,-0.0011367113686696414 ,-0.0012630126318551572
292191.95979899494 ,584383.9195979899  , 665.3266331658291  ,332.66331658291455 ,292191.95979899494 ,-332.66331658291455 ,-0.001138509481273067  ,-0.0012650105347478523
293719.09547738696 ,587438.1909547739  , 669.8492462311557  ,334.92462311557784 ,293719.09547738696 ,-334.92462311557784 ,-0.0011402888959984668 ,-0.0012669876622205187
295246.23115577886 ,590492.4623115577  , 674.3718592964824  ,337.1859296482412  ,295246.23115577886 ,-337.1859296482412  ,-0.0011420499029853287 ,-0.0012689443366503653
296773.3668341709  ,593546.7336683418  , 678.894472361809   ,339.4472361809045  ,296773.3668341709  ,-339.4472361809045  ,-0.0011437927864011417 ,-0.0012708808737790464
298300.5025125628  ,596601.0050251256  , 683.4170854271356  ,341.7085427135678  ,298300.5025125628  ,-341.7085427135678  ,-0.0011455178245942676 ,-0.0012727975828825196
299827.6381909548  ,599655.2763819096  , 687.9396984924623  ,343.96984924623115 ,299827.6381909548  ,-343.96984924623115 ,-0.0011472252902421322 ,-0.0012746947669357025
